"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right","dynamic_env","bird_num"
"s01","p004",565,321,22,6,FALSE,1
"s02","p004",250,200,40,14,FALSE,1
"s03","p004",6,112,3,5,FALSE,1
"s04","p004",1,136,1,10,FALSE,1
"s05","p004",130,507,24,20,FALSE,1
"s06","p004",101,145,14,10,FALSE,1
"s07","p004",158,252,17,8,FALSE,1
"s08","p004",270,296,42,11,FALSE,1
"s09","p004",383,394,46,24,FALSE,1
"s10","p004",163,156,15,5,FALSE,1
"s11","p004",802,360,63,16,FALSE,1
"s12","p004",372,219,38,9,FALSE,1
"s13","p004",375,392,38,12,FALSE,1
"s14","p004",216,342,32,9,FALSE,1
"s15","p004",221,583,50,24,FALSE,1
"s17","p004",216,624,6,28,FALSE,1
"s18","p004",139,579,14,33,FALSE,1
"s19","p004",282,694,21,44,FALSE,1
"s20","p004",328,897,12,37,FALSE,1
"s21","p004",231,518,12,17,FALSE,1
"s22","p004",260,827,17,40,FALSE,1
"s23","p004",281,850,9,42,FALSE,1
"s24","p004",336,949,13,33,FALSE,1
"s25","p004",278,678,6,32,FALSE,1
"s27","p004",588,834,35,13,FALSE,1
"s28","p004",910,854,32,18,FALSE,1
"s29","p004",552,533,35,17,FALSE,1
"s30","p004",785,764,66,25,FALSE,1
"s31","p004",542,637,51,13,FALSE,1
"s32","p004",948,656,56,16,FALSE,1
"s33","p004",789,461,38,16,FALSE,1
"s34","p004",813,557,33,14,FALSE,1
"s35","p004",530,380,29,7,FALSE,1
"s37","p004",516,618,17,38,FALSE,1
"s38","p004",427,723,9,45,FALSE,1
"s39","p004",364,505,17,27,FALSE,1
"s40","p004",537,692,19,43,FALSE,1
"s41","p004",483,736,16,35,FALSE,1
"s42","p004",597,740,7,33,FALSE,1
"s43","p004",346,514,11,20,FALSE,1
"s44","p004",551,699,11,36,FALSE,1
"s45","p004",702,808,14,36,FALSE,1
"s46","p004",706,744,7,37,FALSE,1
"s47","p004",670,663,14,27,FALSE,1
"s48","p004",763,696,5,36,FALSE,1
"s49","p004",544,483,8,30,FALSE,1
"s50","p004",657,758,13,35,FALSE,1
"s51","p004",577,710,11,39,FALSE,1
"s52","p004",759,643,11,33,FALSE,1
"s54","p004",679,705,41,13,FALSE,1
"s55","p004",1221,967,50,13,FALSE,1
"s56","p004",1511,1054,63,28,FALSE,1
"s57","p004",1282,1057,55,26,FALSE,1
"s58","p004",1195,1065,51,23,FALSE,1
"s59","p004",824,1081,67,20,FALSE,1
"s60","p004",746,843,44,18,FALSE,1
"s61","p004",760,793,38,9,FALSE,1
"s62","p004",1067,962,50,15,FALSE,1
"s63","p004",744,722,46,14,FALSE,1
"s64","p004",1005,1164,59,14,FALSE,1
"s65","p004",1008,876,45,20,FALSE,1
"s66","p004",1019,986,57,18,FALSE,1
"s67","p004",693,793,38,17,FALSE,1
"s68","p004",918,912,58,13,FALSE,1
"s69","p004",924,1015,49,18,FALSE,1
"s70","p004",1262,949,48,20,FALSE,1
"s71","p004",966,626,28,14,FALSE,1
"s72","p004",966,972,54,23,FALSE,1
"s73","p004",931,824,44,17,FALSE,1
"s74","p004",1024,751,56,18,FALSE,1
"s76","p004",921,581,15,37,FALSE,1
"s77","p004",874,701,15,41,FALSE,1
"s78","p004",964,566,13,51,FALSE,1
"s79","p004",950,880,16,52,FALSE,1
"s80","p004",750,736,10,40,FALSE,1
"s81","p004",687,695,18,31,FALSE,1
"s82","p004",849,885,14,51,FALSE,1
"s83","p004",919,935,13,39,FALSE,1
"s84","p004",918,946,16,45,FALSE,1
"s85","p004",675,1186,11,55,FALSE,1
"s86","p004",545,740,10,27,FALSE,1
"s87","p004",731,848,13,34,FALSE,1
"s88","p004",881,889,11,39,FALSE,1
"s89","p004",782,820,13,41,FALSE,1
"s90","p004",670,645,14,36,FALSE,1
"s91","p004",406,512,14,31,FALSE,1
"s92","p004",156,378,11,28,FALSE,1
"s93","p004",288,1091,10,42,FALSE,1
"s94","p004",345,800,19,51,FALSE,1
"s95","p004",361,813,14,48,FALSE,1
"s96","p004",195,523,8,24,FALSE,1
"s97","p004",366,494,8,35,FALSE,1
"s98","p004",440,523,12,33,FALSE,1
"s99","p004",663,693,20,42,FALSE,1
"s100","p004",621,590,18,40,FALSE,1
"s102","p004",662,437,23,22,FALSE,1
"s103","p004",712,561,21,26,FALSE,1
"s104","p004",674,506,16,22,FALSE,1
"s105","p004",680,504,20,23,FALSE,1
"s106","p004",622,434,28,18,FALSE,1
"s107","p004",910,567,18,20,FALSE,1
"s108","p004",688,457,32,25,FALSE,1
"s109","p004",873,461,14,10,FALSE,1
"s110","p004",608,416,26,26,FALSE,1
"s111","p004",914,503,22,24,FALSE,1
"s112","p004",649,441,19,21,FALSE,1
"s113","p004",679,536,16,20,FALSE,1
"s114","p004",719,600,18,19,FALSE,1
"s115","p004",879,543,24,28,FALSE,1
"s116","p004",1394,1012,49,35,FALSE,1
"s118","p004",941,770,59,1,FALSE,1
"s119","p004",935,708,46,7,FALSE,1
"s120","p004",1482,974,87,3,FALSE,1
"s121","p004",1007,562,42,7,FALSE,1
"s122","p004",1280,609,55,5,FALSE,1
"s123","p004",1274,703,65,6,FALSE,1
"s128","p004",1450,1001,76,18,FALSE,1
"s133","p004",659,392,47,2,FALSE,1
"s134","p004",985,385,64,3,FALSE,1
"s138","p004",741,506,22,25,FALSE,1
"s139","p004",1394,1362,40,57,FALSE,1
"s141","p004",1141,810,71,4,FALSE,1
"s145","p004",764,922,12,58,FALSE,1
"s146","p004",1232,1252,13,64,FALSE,1
"s147","p004",1232,732,14,66,FALSE,1
"s152","p004",1053,287,13,63,FALSE,1
"s153","p004",1026,495,23,60,FALSE,1
"s156","p004",714,578,1,82,FALSE,1
"s157","p004",511,144,5,30,FALSE,1
"s160","p004",653,39,26,9,FALSE,1
"s163","p004",837,602,5,48,FALSE,1
"s166","p004",937,742,23,33,FALSE,1
"s170","p004",1543,834,73,13,FALSE,1
"s174","p004",1077,966,16,81,FALSE,1
"s175","p004",1280,1209,22,92,FALSE,1
"s177","p004",800,361,40,10,FALSE,1
"s179","p004",978,685,8,37,FALSE,1
"s01","p054",236,277,33,17,FALSE,2
"s02","p054",511,329,51,19,FALSE,2
"s03","p054",271,247,26,14,FALSE,2
"s04","p054",338,183,28,9,FALSE,2
"s05","p054",143,206,17,10,FALSE,2
"s06","p054",294,311,39,20,FALSE,2
"s07","p054",309,110,25,7,FALSE,2
"s08","p054",655,198,72,26,FALSE,2
"s09","p054",306,118,25,10,FALSE,2
"s10","p054",462,147,44,14,FALSE,2
"s11","p054",355,206,32,11,FALSE,2
"s12","p054",722,269,66,23,FALSE,2
"s13","p054",642,188,44,16,FALSE,2
"s14","p054",734,287,55,21,FALSE,2
"s15","p054",409,164,31,9,FALSE,2
"s17","p054",383,349,12,36,FALSE,2
"s18","p054",342,322,10,35,FALSE,2
"s19","p054",214,357,3,28,FALSE,2
"s20","p054",343,422,18,40,FALSE,2
"s21","p054",383,412,19,34,FALSE,2
"s22","p054",383,426,15,46,FALSE,2
"s23","p054",77,130,3,20,FALSE,2
"s24","p054",281,437,4,34,FALSE,2
"s25","p054",275,315,14,37,FALSE,2
"s27","p054",662,350,49,12,FALSE,2
"s28","p054",768,374,51,16,FALSE,2
"s29","p054",728,348,44,15,FALSE,2
"s30","p054",428,198,24,5,FALSE,2
"s31","p054",875,378,48,21,FALSE,2
"s32","p054",359,247,28,9,FALSE,2
"s33","p054",1168,480,67,22,FALSE,2
"s34","p054",908,272,48,12,FALSE,2
"s35","p054",674,438,37,19,FALSE,2
"s37","p054",428,563,14,37,FALSE,2
"s38","p054",433,574,15,45,FALSE,2
"s39","p054",419,402,19,29,FALSE,2
"s40","p054",355,364,11,29,FALSE,2
"s41","p054",398,603,17,51,FALSE,2
"s42","p054",435,518,17,34,FALSE,2
"s43","p054",413,636,8,41,FALSE,2
"s44","p054",376,621,12,35,FALSE,2
"s45","p054",356,617,14,46,FALSE,2
"s46","p054",418,642,13,38,FALSE,2
"s47","p054",239,441,8,32,FALSE,2
"s48","p054",261,473,12,31,FALSE,2
"s49","p054",179,313,10,29,FALSE,2
"s50","p054",283,496,12,35,FALSE,2
"s51","p054",254,422,7,28,FALSE,2
"s52","p054",414,619,19,38,FALSE,2
"s54","p054",849,548,60,18,FALSE,2
"s55","p054",772,515,46,22,FALSE,2
"s56","p054",621,496,38,14,FALSE,2
"s57","p054",658,446,57,19,FALSE,2
"s58","p054",737,535,43,12,FALSE,2
"s59","p054",565,287,51,15,FALSE,2
"s60","p054",753,416,43,24,FALSE,2
"s61","p054",438,210,22,3,FALSE,2
"s62","p054",340,178,26,16,FALSE,2
"s63","p054",690,321,37,10,FALSE,2
"s64","p054",563,210,33,12,FALSE,2
"s65","p054",548,278,32,14,FALSE,2
"s66","p054",840,409,61,19,FALSE,2
"s67","p054",680,293,48,17,FALSE,2
"s68","p054",543,279,45,17,FALSE,2
"s69","p054",721,270,60,22,FALSE,2
"s70","p054",634,252,37,13,FALSE,2
"s71","p054",528,220,50,22,FALSE,2
"s72","p054",515,205,41,14,FALSE,2
"s73","p054",535,262,48,13,FALSE,2
"s74","p054",605,277,49,14,FALSE,2
"s76","p054",390,390,9,34,FALSE,2
"s77","p054",343,442,14,39,FALSE,2
"s78","p054",536,550,16,43,FALSE,2
"s79","p054",271,360,13,34,FALSE,2
"s80","p054",393,501,7,39,FALSE,2
"s81","p054",505,591,19,38,FALSE,2
"s82","p054",372,414,19,32,FALSE,2
"s83","p054",503,563,16,41,FALSE,2
"s84","p054",544,550,18,34,FALSE,2
"s85","p054",296,475,9,30,FALSE,2
"s86","p054",376,447,7,24,FALSE,2
"s87","p054",451,604,12,36,FALSE,2
"s88","p054",455,583,19,36,FALSE,2
"s89","p054",427,515,20,29,FALSE,2
"s90","p054",540,598,19,46,FALSE,2
"s91","p054",304,440,14,47,FALSE,2
"s92","p054",258,322,13,22,FALSE,2
"s93","p054",222,306,10,34,FALSE,2
"s94","p054",342,445,16,41,FALSE,2
"s95","p054",287,351,5,35,FALSE,2
"s96","p054",457,701,11,42,FALSE,2
"s97","p054",179,219,9,24,FALSE,2
"s98","p054",430,499,11,31,FALSE,2
"s99","p054",193,187,11,22,FALSE,2
"s100","p054",443,618,17,45,FALSE,2
"s102","p054",300,325,22,24,FALSE,2
"s103","p054",262,214,22,20,FALSE,2
"s104","p054",293,330,17,21,FALSE,2
"s105","p054",245,240,17,12,FALSE,2
"s106","p054",499,478,23,17,FALSE,2
"s107","p054",228,175,22,18,FALSE,2
"s108","p054",178,230,19,20,FALSE,2
"s109","p054",179,208,11,16,FALSE,2
"s110","p054",268,239,16,19,FALSE,2
"s111","p054",227,210,25,20,FALSE,2
