"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"german11",1232,27,2,201,18,3,1,231,21,1,252,4
"uytrewq",1607,70,7,106,10,16,0,192,17,3,209,4
"JakubSmetana",1747,65,2,77,2,7,0,149,4,4,153,4
"knives",1724,69,1,53,1,12,0,134,2,4,136,4
"luis_alfredop",2148,68,1,58,0,9,0,135,1,4,136,4
"sasaue",1807,64,6,57,2,5,0,126,8,4,134,4
"knightfactor",2055,87,1,31,0,2,0,120,1,4,121,4
"Home1938",1778,28,17,46,12,8,2,82,31,4,113,4
"les016",1954,57,1,48,0,6,0,111,1,4,112,4
"tonyclifton",1737,1,37,3,66,0,2,4,105,4,109,4
"satoshi",1833,40,2,62,2,1,0,103,4,4,107,4
"Grga1",1750,42,4,48,8,3,0,93,12,4,105,4
"TrialA",1871,51,2,48,1,1,0,100,3,4,103,4
"LeeveJung",1891,42,6,39,5,9,0,90,11,4,101,4
"BahtiyarGalimzhanov",1666,28,14,36,14,7,1,71,29,3,100,4
"milanbelobrk",1963,62,3,30,2,2,0,94,5,4,99,4
"win1soon",1586,39,1,54,2,3,0,96,3,3,99,4
"mukundranjan",1554,39,1,55,1,2,0,96,2,2,98,4
"pionfou",1910,42,1,48,0,6,0,96,1,4,97,4
"goodflood",1555,37,2,50,1,1,0,88,3,2,91,4
"tobimensch",1262,8,7,49,23,1,1,58,31,1,89,4
"VanLeeu",1837,5,45,3,31,0,5,8,81,4,89,4
"chesslion",1906,45,1,38,0,1,0,84,1,4,85,4
"rohlla",1927,35,1,46,1,1,0,82,2,4,84,4
"Pasargadae",1901,11,33,14,15,5,5,30,53,4,83,4
"Andrandandand",1610,20,1,55,5,1,0,76,6,3,82,4
"Bogen",1569,21,1,56,3,1,0,78,4,2,82,4
"-FISCHER-",1431,14,7,43,13,0,0,57,20,1,77,4
"azzkrc",1352,37,1,34,2,2,0,73,3,1,76,4
"LewsTherin777",1517,8,16,15,34,0,3,23,53,2,76,4
"VEGETAL",1754,19,8,25,21,0,2,44,31,4,75,4
"kogaa",1590,26,6,29,9,2,0,57,15,3,72,4
"Bohn-Jartholomew",1817,32,1,35,1,1,1,68,3,4,71,4
"GandalfTheTW",1780,35,3,29,3,0,0,64,6,4,70,4
"meberlioz",1450,6,26,7,27,0,3,13,56,2,69,4
"ceringma",1747,23,2,38,3,1,1,62,6,4,68,4
"danieldebaskerville",1518,4,17,13,33,0,1,17,51,2,68,4
"mgtevt",1363,12,1,52,1,1,0,65,2,1,67,4
"Zzorro",1662,21,4,31,6,4,1,56,11,3,67,4
"geniowilde",1838,27,6,25,2,3,1,55,9,4,64,4
"Tatok77",1775,15,1,44,2,2,0,61,3,4,64,4
"Scoop",1354,23,4,31,5,0,0,54,9,1,63,4
"stefanom",1829,30,2,29,0,2,0,61,2,4,63,4
"thercias",1947,25,1,30,1,6,0,61,2,4,63,4
"kurzeme",1889,19,2,35,2,3,0,57,4,4,61,4
"avojan",1731,22,2,32,4,0,0,54,6,4,60,4
"dorzh",2013,23,17,9,7,2,2,34,26,4,60,4
"Rivelon",1615,27,1,23,6,2,0,52,7,3,59,4
